timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-20,11.4900,11.4900,10.7100,11.3493,11.3493,2909,0.0000,,
2017-11-17,11.2100,11.6500,11.0500,11.5000,11.5000,69294,0.0000,,
2017-11-16,11.1300,11.6200,11.1096,11.3400,11.3400,78390,0.0000,,
2017-11-15,11.5000,11.5000,10.9700,11.0300,11.0300,102706,0.0000,,
2017-11-14,11.4900,11.8500,11.1400,11.4400,11.4400,160564,0.0000,,
2017-11-13,10.9500,11.6500,10.7200,11.3100,11.3100,354212,0.0000,,
2017-11-10,9.7300,10.4800,9.7300,10.3200,10.3200,97071,0.0000,,
2017-11-09,10.0600,10.1900,9.8500,10.0000,10.0000,116125,0.0000,,
2017-11-08,10.1000,10.2000,9.7100,10.1700,10.1700,93243,0.0000,,
2017-11-07,10.3200,10.3600,10.1000,10.1800,10.1800,76097,0.0000,,
2017-11-06,10.2800,10.3900,10.1000,10.3200,10.3200,97259,0.0000,,
2017-11-03,10.4600,10.4600,10.2400,10.3300,10.3300,113522,0.0000,,
2017-11-02,10.4100,10.5000,10.0600,10.4100,10.4100,102773,0.0000,,
2017-11-01,10.3100,10.5700,10.0300,10.3700,10.3700,191456,0.0000,,
2017-10-31,10.4100,10.8700,10.3700,10.6300,10.6300,110234,0.0000,,
2017-10-30,10.2500,10.5700,10.2500,10.4200,10.4200,77238,0.0000,,
2017-10-27,10.6100,10.6100,10.3000,10.3800,10.3800,46644,0.0000,,
2017-10-26,10.6500,10.7100,10.4400,10.6000,10.6000,50702,0.0000,,
2017-10-25,10.6400,10.6400,10.3500,10.5900,10.5900,48871,0.0000,,
2017-10-24,10.6000,10.9500,10.5800,10.7100,10.7100,107787,0.0000,,
2017-10-23,10.7400,10.9000,10.1800,10.5500,10.5500,95129,0.0000,,
2017-10-20,10.2400,10.9400,10.1500,10.7400,10.7400,190942,0.0000,,
2017-10-19,10.1400,10.1400,9.9600,10.1000,10.1000,50274,0.0000,,
2017-10-18,9.9900,10.2400,9.9900,10.1600,10.1600,68386,0.0000,,
2017-10-17,10.2400,10.3500,9.9300,10.0100,10.0100,81469,0.0000,,
2017-10-16,10.2100,10.3000,10.0500,10.2900,10.2900,111378,0.0000,,
2017-10-13,10.1900,10.2300,9.7100,10.0600,10.0600,232759,0.0000,,
2017-10-12,10.1700,10.5400,10.0200,10.3500,10.3500,76764,0.0000,,
2017-10-11,10.2300,10.3300,10.1500,10.2300,10.2300,44212,0.0000,,
2017-10-10,10.7000,10.7900,10.0600,10.1900,10.1900,90880,0.0000,,
2017-10-09,10.6600,10.7600,10.4200,10.6900,10.6900,77683,0.0000,,
2017-10-06,10.8300,10.9600,10.4600,10.7000,10.7000,110619,0.0000,,
2017-10-05,10.8000,11.0700,10.8000,10.9400,10.9400,108304,0.0000,,
2017-10-04,11.0900,11.3900,10.5600,10.7600,10.7600,249398,0.0000,,
2017-10-03,11.1500,11.4800,11.0800,11.2400,11.2400,180772,0.0000,,
2017-10-02,11.2100,11.4200,11.1300,11.1800,11.1800,146968,0.0000,,
2017-09-29,11.3000,11.4700,11.1200,11.3600,11.3600,200345,0.0000,,
2017-09-28,11.2000,11.3700,10.8800,11.3400,11.3400,156577,0.0000,,
2017-09-27,11.0000,11.2400,10.6500,11.1200,11.1200,160453,0.0000,,
2017-09-26,10.3000,10.9700,10.3000,10.9500,10.9500,207300,0.0000,,
2017-09-25,10.2500,10.3200,10.0000,10.2800,10.2800,132527,0.0000,,
2017-09-22,10.2500,10.3600,10.1600,10.2800,10.2800,116483,0.0000,,
2017-09-21,10.3300,10.3400,9.9900,10.2900,10.2900,135872,0.0000,,
2017-09-20,10.5000,10.6500,9.9600,10.3100,10.3100,243963,0.0000,,
2017-09-19,10.3400,10.6000,10.1900,10.5000,10.5000,151817,0.0000,,
2017-09-18,9.9200,10.3400,9.9200,10.3000,10.3000,179318,0.0000,,
2017-09-15,10.0000,10.2400,9.7600,9.9800,9.9800,324743,0.0000,,
2017-09-14,9.6000,10.0000,9.6000,9.9900,9.9900,160777,0.0000,,
2017-09-13,9.3900,9.7500,9.3900,9.6300,9.6300,152996,0.0000,,
2017-09-12,8.9000,9.5600,8.9000,9.3400,9.3400,172299,0.0000,,
2017-09-11,8.6000,8.9800,8.5700,8.9000,8.9000,310213,0.0000,,
2017-09-08,8.4400,8.5400,8.3500,8.4700,8.4700,68023,0.0000,,
2017-09-07,8.3900,8.5400,8.3500,8.5100,8.5100,139589,0.0000,,
2017-09-06,8.3800,8.6000,8.2300,8.3800,8.3800,99552,0.0000,,
2017-09-05,8.1200,8.6000,8.0600,8.4000,8.4000,270402,0.0000,,
