timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-22,2.4500,2.6000,2.4500,2.5500,2.5500,39878,0.0000,,
2017-11-21,2.6100,2.6100,2.4330,2.4800,2.4800,17499,0.0000,,
2017-11-20,2.7500,2.7500,2.4200,2.6100,2.6100,28735,0.0000,,
2017-11-17,2.6000,2.7070,2.4800,2.5900,2.5900,46222,0.0000,,
2017-11-16,2.5500,2.6390,2.3500,2.6100,2.6100,45772,0.0000,,
2017-11-15,2.8600,2.8600,2.5000,2.6000,2.6000,120026,0.0000,,
2017-11-14,3.0400,3.0400,2.8500,2.8500,2.8500,74079,0.0000,,
2017-11-13,2.8400,2.9000,2.7100,2.8900,2.8900,43518,0.0000,,
2017-11-10,2.8000,2.9490,2.7310,2.8000,2.8000,12521,0.0000,,
2017-11-09,2.8000,2.9070,2.7500,2.8300,2.8300,10586,0.0000,,
2017-11-08,2.8800,2.9300,2.7600,2.8100,2.8100,18869,0.0000,,
2017-11-07,2.9500,2.9500,2.8800,2.8800,2.8800,21309,0.0000,,
2017-11-06,2.8800,2.9990,2.8800,2.9000,2.9000,20877,0.0000,,
2017-11-03,2.8100,3.0300,2.7800,2.8500,2.8500,126172,0.0000,,
2017-11-02,2.6400,2.7700,2.6020,2.7700,2.7700,40627,0.0000,,
2017-11-01,2.5500,2.7540,2.5220,2.6500,2.6500,28683,0.0000,,
2017-10-31,2.6000,2.6650,2.5300,2.5300,2.5300,22738,0.0000,,
2017-10-30,2.5000,2.6300,2.5000,2.6300,2.6300,14319,0.0000,,
2017-10-27,2.4300,2.6000,2.4100,2.4800,2.4800,38050,0.0000,,
2017-10-26,2.4800,2.5500,2.4200,2.4500,2.4500,49203,0.0000,,
2017-10-25,2.6700,2.6900,2.4900,2.5100,2.5100,136791,0.0000,,
2017-10-24,2.7250,2.8000,2.6200,2.6500,2.6500,202517,0.0000,,
2017-10-23,2.7400,2.8400,2.6600,2.6800,2.6800,70189,0.0000,,
2017-10-20,2.8540,2.9000,2.7240,2.7400,2.7400,59178,0.0000,,
2017-10-19,2.9500,2.9890,2.8500,2.8500,2.8500,30249,0.0000,,
2017-10-18,2.9700,2.9700,2.8600,2.8600,2.8600,6097,0.0000,,
2017-10-17,2.9900,2.9900,2.9000,2.9000,2.9000,48783,0.0000,,
2017-10-16,2.8700,3.0300,2.8500,2.9600,2.9600,29126,0.0000,,
2017-10-13,3.0800,3.0800,2.8500,2.8700,2.8700,61545,0.0000,,
2017-10-12,3.0000,3.0700,2.9100,3.0200,3.0200,39635,0.0000,,
2017-10-11,2.8800,3.0000,2.8800,2.9800,2.9800,14039,0.0000,,
2017-10-10,2.8500,2.9400,2.8500,2.8500,2.8500,33898,0.0000,,
2017-10-09,2.8000,2.9400,2.7800,2.8000,2.8000,93750,0.0000,,
2017-10-06,2.6700,2.8300,2.6500,2.7800,2.7800,71785,0.0000,,
2017-10-05,2.6600,2.7700,2.6200,2.6400,2.6400,58457,0.0000,,
2017-10-04,2.7800,2.8300,2.6200,2.6900,2.6900,74521,0.0000,,
2017-10-03,2.7300,2.8300,2.7100,2.7500,2.7500,37711,0.0000,,
2017-10-02,2.9500,2.9500,2.7100,2.7100,2.7100,111270,0.0000,,
2017-09-29,2.8500,2.9900,2.6500,2.7700,2.7700,78672,0.0000,,
2017-09-28,2.9100,3.0120,2.7100,2.8300,2.8300,167694,0.0000,,
2017-09-27,3.1600,3.3100,2.7800,2.8800,2.8800,116823,0.0000,,
2017-09-26,3.4400,3.4600,3.1510,3.1600,3.1600,109032,0.0000,,
2017-09-25,3.5100,3.6230,3.4000,3.4200,3.4200,32538,0.0000,,
2017-09-22,3.8900,3.9700,3.3300,3.5300,3.5300,114752,0.0000,,
2017-09-21,4.2000,4.2000,3.8580,4.0000,4.0000,162040,0.0000,,
2017-09-20,3.7200,4.0900,3.6500,4.0400,4.0400,99198,0.0000,,
2017-09-19,3.8100,3.9390,3.5900,3.7500,3.7500,110541,0.0000,,
2017-09-18,3.8200,4.0470,3.7200,3.7800,3.7800,68567,0.0000,,
2017-09-15,4.1400,4.1400,3.7500,3.8200,3.8200,118466,0.0000,,
2017-09-14,4.0100,4.1400,3.9200,4.0900,4.0900,46350,0.0000,,
2017-09-13,4.1200,4.1200,3.8310,4.0400,4.0400,27045,0.0000,,
2017-09-12,4.0300,4.1000,3.8700,3.9800,3.9800,44750,0.0000,,
