timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-11-17,34.9500,35.4000,34.6500,35.2000,35.2000,14437,0.0000,,
2017-11-16,34.4000,35.7000,34.4000,35.1500,35.1500,16859,0.0000,,
2017-11-15,34.5500,34.7500,34.2500,34.4000,34.4000,14428,0.0000,,
2017-11-14,34.0000,34.9000,34.0000,34.8000,34.8000,12028,0.0000,,
2017-11-13,34.0000,34.3500,33.8500,34.2500,34.2500,17306,0.0000,,
2017-11-10,34.4000,34.6500,33.9500,34.0000,34.0000,8396,0.0000,,
2017-11-09,34.3000,35.0200,33.9500,34.5000,34.5000,12033,0.0000,,
2017-11-08,34.1500,34.8000,33.7500,34.7000,34.7000,17202,0.0000,,
2017-11-07,34.7000,34.7500,34.1000,34.2000,34.2000,15555,0.0000,,
2017-11-06,34.7500,35.5000,34.6500,34.7500,34.7500,12452,0.0000,,
2017-11-03,35.6000,35.9000,34.8000,34.8000,34.8000,12257,0.0000,,
2017-11-02,36.1500,36.1500,34.2000,35.6000,35.6000,19538,0.0000,,
2017-11-01,35.6500,35.6500,33.2500,33.4000,33.4000,35425,0.0000,,
2017-10-31,35.1500,35.5000,35.0000,35.2000,35.2000,17438,0.0000,,
2017-10-30,35.9000,35.9000,34.9000,35.1000,35.1000,17198,0.0000,,
2017-10-27,35.2500,36.2500,35.2000,36.1000,36.1000,19282,0.0000,,
2017-10-26,35.0000,35.3500,34.9500,35.2500,35.2500,12640,0.0000,,
2017-10-25,34.9500,35.1500,34.0000,34.9500,34.9500,39187,0.0000,,
2017-10-24,36.0000,36.0500,35.0500,35.0500,35.0500,24129,0.0000,,
2017-10-23,36.2500,36.2500,35.9000,35.9500,35.9500,13012,0.0000,,
2017-10-20,36.9500,36.9500,35.9500,36.2000,36.2000,37693,0.0000,,
2017-10-19,36.3500,36.9000,36.3500,36.7000,36.7000,15698,0.0000,,
2017-10-18,36.1500,36.9500,36.0600,36.3500,36.3500,30638,0.0000,,
2017-10-17,36.8000,37.3700,36.0500,36.1000,36.1000,41651,0.0000,,
2017-10-16,36.1500,36.9500,36.0000,36.8000,36.8000,18721,0.0000,,
2017-10-13,36.4000,36.4000,35.8500,35.9500,35.9500,12006,0.0000,,
2017-10-12,36.5000,36.7000,35.8500,36.2500,36.2500,32313,0.0000,,
2017-10-11,35.7500,36.4500,35.7500,36.3500,36.3500,17456,0.0000,,
2017-10-10,35.2500,36.0500,35.2000,35.7000,35.7000,21303,0.0000,,
2017-10-09,35.6000,35.6000,35.0000,35.0000,35.0000,24943,0.0000,,
2017-10-06,35.3000,35.7000,35.2500,35.6000,35.6000,14487,0.0000,,
2017-10-05,35.3000,35.6000,35.2000,35.5000,35.5000,19188,0.0000,,
2017-10-04,35.0000,35.7400,34.9500,35.3000,35.3000,21117,0.0000,,
2017-10-03,35.0000,35.4500,34.6000,35.0500,35.0500,27872,0.0000,,
2017-10-02,33.8500,35.1000,33.8500,35.0500,35.0500,34941,0.0000,,
2017-09-29,35.1500,35.4500,33.8000,33.9000,33.9000,28551,0.0000,,
2017-09-28,34.6500,35.2500,34.3500,35.2000,35.2000,19877,0.1602,,
2017-09-27,35.0500,35.1500,34.4500,34.8500,34.6921,50025,0.0000,,
2017-09-26,34.1000,35.0500,34.1000,34.7000,34.5428,28299,0.0000,,
2017-09-25,33.6000,34.2000,33.6000,34.0500,33.8957,13758,0.0000,,
2017-09-22,33.3000,33.8000,33.2500,33.7500,33.5971,15299,0.0000,,
2017-09-21,33.8000,33.9000,33.1000,33.2500,33.0994,30075,0.0000,,
2017-09-20,33.6000,33.9500,33.6000,33.8000,33.6469,18051,0.0000,,
2017-09-19,33.9000,33.9100,33.4000,33.5000,33.3482,12175,0.0000,,
2017-09-18,32.8500,34.0000,32.8500,33.7500,33.5971,40418,0.0000,,
2017-09-15,32.7000,33.0000,32.5000,32.7500,32.6016,71745,0.0000,,
2017-09-14,32.4500,32.9500,32.3500,32.6500,32.5021,25118,0.0000,,
2017-09-13,32.7000,33.0500,32.4000,32.4500,32.3030,23124,0.0000,,
2017-09-12,33.2000,33.5000,32.6500,32.7000,32.5519,22258,0.0000,,
2017-09-11,33.5500,33.6500,32.8500,33.3000,33.1491,36208,0.0000,,
2017-09-08,32.8000,33.8300,32.8000,33.5500,33.3980,12431,0.0000,,
2017-09-07,32.9500,33.1500,32.7000,33.0000,32.8505,15713,0.0000,,
2017-09-06,32.9500,33.1500,32.6500,32.8000,32.6514,26653,0.0000,,
2017-09-05,32.6000,33.0500,32.6000,32.7000,32.5519,18999,0.0000,,
2017-09-01,33.0000,33.0000,32.5000,32.9000,32.7509,22431,0.0000,,
2017-08-31,33.0000,33.4500,32.8000,32.9000,32.7509,29066,0.0000,,
2017-08-30,33.0000,33.1000,32.7000,32.9000,32.7509,11943,0.0000,,
2017-08-29,32.7500,33.4500,32.7000,33.1000,32.9500,19448,0.0000,,
2017-08-28,33.0000,33.0900,32.7500,32.9000,32.7509,15094,0.0000,,
2017-08-25,33.2500,33.4000,32.8000,33.1500,32.9998,11210,0.0000,,
2017-08-24,32.7000,33.2500,32.6000,33.0500,32.9003,11067,0.0000,,
2017-08-23,32.6000,33.2500,32.5500,32.6000,32.4523,27663,0.0000,,
2017-08-22,33.0000,33.3000,32.7500,32.9000,32.7509,23564,0.0000,,
2017-08-21,32.6500,33.3500,32.4000,32.9000,32.7509,18048,0.0000,,
2017-08-18,32.1000,32.8500,31.9000,32.5500,32.4025,33116,0.0000,,
2017-08-17,32.7000,33.1500,32.3500,32.3500,32.2034,27484,0.0000,,
2017-08-16,33.1000,33.2500,32.8000,32.8500,32.7012,18887,0.0000,,
2017-08-15,33.6500,33.7500,33.0000,33.1000,32.9500,27549,0.0000,,
2017-08-14,32.7000,33.9000,32.7000,33.8000,33.6469,22292,0.0000,,
2017-08-11,33.8500,33.8500,32.5500,32.7500,32.6016,28107,0.0000,,
2017-08-10,33.5500,33.8500,33.5000,33.5500,33.3980,22132,0.0000,,
2017-08-09,33.7500,33.9100,33.5500,33.7000,33.5473,20210,0.0000,,
2017-08-08,34.2000,34.7500,33.9000,34.0000,33.8460,18426,0.0000,,
