AAPL,2017-12-04,2000-01-03,
TSLA,2017-12-04,2010-06-29,
GOOGL,2017-12-04,2004-08-19,
EDIG,2017-12-04,2000-01-03,
GOOG,2017-12-04,2014-03-27,
JAV,2017-12-03,2013-12-16,
A,2017-12-04,2000-01-03,
AAPL,2017-12-04,2000-01-03,
GOOG,2017-12-04,2014-03-27,
TSLA,2017-12-04,2010-06-29,
EDIG,2017-12-04,2000-01-03,
AGM,2017-12-04,2000-01-03,
GSB,2017-12-04,2003-09-09,
CAJ,2017-12-04,2000-01-03,
AJXA,2017-12-04,2017-04-28,
BAA,2017-12-04,2005-03-28,
GSM,2017-12-04,2009-07-30,
A,2017-12-04,2000-01-03,
GOOGL,2017-12-04,2004-08-19,
